BLADE LENGTH x WIDTH x THICKNESS STOCK #,CONFIGU RATION INCH ES MM,TPI,APPLIC ATION,BOXED,TUBED
3 x 3/8 x .035,75 x 10 x .9,14,"Steel and non-ferrous metals, over 1/8\"",JSBM314""",JSBM314P,
3 x 3/8 x .035,75 x 10 x .9,18,Metals over 18 gauge,JSBM318,JSBM318P
3 x 3/8 x .035,75 x 10 x .9,24,"Tubing, conduit",JSBM324,JSBM324P
4 x 5/16 x .035,100 x 8 x 1.0,10,"All woods, composition materials, plastics, plywood",JSBM410,JSBM410P
4 x 5/16 x .035,100 x 8 x 1.0,8,General purpose,JSBM408,JSBM408P
4 x 5/16 x .035,100 x 8 x 1.0,6,"Wood, fiberboard, wood compositions",JSBM406,JSBM406P
