STOCK #,DIA.,POUCHED,"6-1/8"" OAL"
WSB61155P,5/16,POWER BIT EXTENSIONS,
WSB61156P,3/8,,
WSB61157P,7/16,,
WSB61158P,1/2,,
WSB61159P,9/16,,
WSB61160P,5/8,,
WSB61161P,11/16,,
WSB61162P,3/4,,
WSB61163P,13/16,,
WSB61164P,7/8,,
WSB61165P,15/16,,
WSB61166P,1,,
WSB61167P,1-1/8,,
WSB61168P,1-1/4,,
WSB61169P,1-3/8,,
WSB61170P,1-1/2,,
WSB61171P,1-1/2,,
WSB61172P,1/4,,
WSB61173P,3/8,,
WSB61174P,1/2,,
WSB61175P,5/8,,
WSB61176P,3/4,,
WSB61177P,7/8,,
WSB61178P,1,,
WSB61178AP,1-1/8,,
