ALFA USA,QTY.,SIZES,STOCK #
,13 Pc.,"1/16\ - 1/4\"" by 64ths""",ST50194
,21 Pc.,"1/16\ - 3/8\"" by 64ths""",ST50192
,29 Pc.,"1/16\ - 1/2\"" by 64ths""",ST50190
,15 Pc.,"1/16\ - 1/2\"" by 32nds""",ST50193
