HOLE DIAMETER,HOLE DIAMETER (METRIC),STOCK #,NO. OF CUT TEETH
3/4,19,CTHS01,1
7/8,22,CTHS02,1
1,25,CTHS03,1
1-1/16,27,CTHS04,1
1-3/16,30,CTHS05,1
1-1/4,32,CTHS06,2
1-3/8,35,CTHS07,2
1-1/2,38,CTHS08,2
1-9/16,40,CTHS09,2
1-5/8,41,CTHS10,2
1-3/4,44,CTHS11,2
1-7/8,48,CTHS12,2
2,51,CTHS13,3
2-1/8,54,CTHS14,3
2-1/4,57,CTHS15,3
2-3/8,60,CTHS16,3
2-1/2,64,CTHS17,3
2-5/8,67,CTHS18,3
2-3/4,70,CTHS19,3
2-7/8,73,CTHS20,3
3,76,CTHS21,3
