QTY.,SIZES,ALFA USA STOCK #
13 Pc.,"1/16” – ¼"" by 64ths""",SFL50194
15 Pc.,"1/16” – ½"" by 32nds""",SFL50193
21 Pc.,"1/16” – 3/8"" by 64ths""",SFL50192
29 Pc.,"1/16” - 1/2"" by 64ths""",SFL50190
29 Pc.,"Drill Mug 1/16” - 1/2"" by 64ths""",SFL50190DM
