RANGE OF HOLE,SHANK STOCK #,SIZE,SMALL DIA.,LARGE DIA.,DIA. ENVELOPED,CARDED
0 (DE),CDT50500,1/16,15/64,1/4,CDT50500C,
1 (SE),CDT50501,5/32,13/32,1/4,CDT50501C,
2 (SE),CDT50502,3/16,17/32,1/4,CDT50502C,
SET 3 (SE),CDT50503,5/16,25/32,1/2,CDT50503C,
4 (SE),CDT50504,9/16,1-1/16,1/2,-,
SET 5 (SE),CDT50505,5/8,1-15/32,1/2,-,
SIZES,CDT50506,3/4,1-3/4,5/8,-,
7 (SE),CDT50507,1,2,5/8,-,
5 Pc. #0 - #4,CDT50510S,-,-,-,-,
8 (SE),CDT50508,1-1/4,2-1/2,3/4,-,
