SIZE,JACOBS LFA,STOCK #,CHUCK NO.,KEY #
MK1,K7; K30; KK; KG1,CK2023,CK2016,K2
MK2,K2; K6; K7; K32,CK2022,CK2017,K3
K30,"15/64""",JC3664,CK2018,K4
K3,"2 1/4""",JC3666,CK2019,KK
KK,"9/32""",JC30052,CK2020,TYPE A
KG1,"1/4""",JC14273,CK2021,TYPE B
K4,"3/8""",JC3655,CK2027,TYPE C
K5,"7/16""",JC3657,CK2028,
