STYLE,OAL,CUT,STOCK #
Hand,"6-1/4""",2,F62251
Flat,"6-1/4""",2,F62252
Hand Half Round,"6-1/4""",0,F62253
Flat Half Round,"6-1/4""",2,F62254
Half Round Three Square,"6-1/4""",2,F62255
SQUARE,"6-1/4""",2,F62256
ROUND,"6-1/4""",2,F62257
SLITTING,"6-1/4""",0,F62258
CROSSING,"6-1/4""",2,F62259
BARRETTE,"6-1/4""",2,F62260
KNIFE,"6-1/4""",0,F62261
CROCHET,"6-1/4""",2,F62262
Hand with Round Edge,"6-1/4""",0,F62265
