TEMP,SERIES,ITEM,COLOR,VISCOSITY,PRESSURE RANGE
High Strength,RC 20,High Temperature,Green,8500 cps,4000 psi
High Strength,RC 80,For Slip Fitted,Green,1400 cps,4200 psi
