DESCRIPTION,ALFA US,STOCK#,ECO PRO
"Machine Screw & Fractional Plug Taps, 1 size each:",TDS66010,TDS266010,
"Metric Plug Taps, 1 size each:",TDS66011,TDS266011,
"Fractional Plug Taps, 1 size each:",TDS66013,TDS266013,
"Machine Screw & Fractional Plug Taps, 1 size each:",TDS66016,TDS266016,
"Machine Screw Plug Taps, 1 size each:",TDS66019,TDS266019,
"Machine Screw Plug Taps, 1 size each:",TDS66016,,
