PHILLIPS,WOOD SCREW SIZE,MACHINE SCREW SIZE,SHEET METAL SCREW SIZE,POINT SIZE
0,0,0,0,"0, 1"
1,"1, 2, 3, 4","2, 3, 4","2, 3, 4","1, 2, 3, 4"
2,"5, 6, 7, 8, 9","5, 6, 7, 8, 9, 10","5, 6, 7, 8, 10","5, 6, 7, 8, 10"
3,"10, 12, 14, 16","12, 14, 16","12, 14","12, 1/4, 5/16"
4,"18, 20, 24","18, 20, 24","5/16, 3/8, 7/16, 1/2","3/8, 7/16, 1/2"
