CUTTER SHANK LENGTH,DIA.,DIA. OF CUT,OA L,FLUTES,STOCK #
1/4,3/8,5/8,2-7/16,3,REM50801
5/16,3/8,3/4,2-1/2,3,REM50802
3/8,3/8,3/4,2-1/2,4,REM50803
5/8,5/8,1-5/8,3-3/4,4,REM50806
7/8,3/4,1-5/8,3-3/4,4,REM50885
1,1,2,4-1/2,5,REM50818
1-1/8,1,2,4-1/2,6,REM50819
1-1/4,1-1/4,2,4-1/2,6,REM50822
1-1/2,1-1/4,2,4-1/2,6,REM50823
2,1-1/4,2,4-1/2,8,REM50825
2,2,4,7-3/4,8,REM50828
