NO.," ""STOCK #"""," ""STEEL SET INCLUDES"""," ""PIECES"""
1," ""TDS66064H"""," ""HIGH SPEED"""," ""64"""
2," ""TDS66064C"""," ""HIGH CARBON"""," ""64"""
