STOCK #,POINT,SIZE,OAL,PACK,BUlk CARDED,QTy. IN HANG-UP BOX
HSB16052,#1 - 2,"1\"",25""",HSB16052C,,,
HSB16053,#2 - 3,"1\"",25""",HSB16053C,,,
HSB15814,#0,"1\"",25""",HSB15814C,,,
HSB15815,#1,"1\"",25""",HSB15815C,,,
HSB15816,#2,"1\"",25""",HSB15816C,,,
HSB15808,#4 - 5,"1\"",25""",HSB15808C,,,
HSB15809,#6 - 8,"1\"",25""",HSB15809C,,,
HSB15810,#8 - 10,"1\"",25""",HSB15810C,,,
HSB15811,#10 - 12,"1\"",25""",HSB15811C,,,
HSB15812,#12 - 14,"1-1/4\"",25""",HSB15812C,,,
