SIZE,DESCRIPTION,QTY.,STOCK #
8 oz. Brush Top Can,ALFA CHEM Premium Copper Anti-Seize,12,ASC08
1 lb. Brush Top Can,ALFA CHEM Premium Copper Anti-Seize,12,ASC16
