Hearing Protection Type,Features,Stock #,Packaging
Superior noise reduction,"Superior noise reduction, Fiberglass headband, Independently adjustable ear cups, Soft foam filled cushions, Meets ANSI standard S3.19-1974, Safety yellow color",CSP111,Individually poly bagged
Hearing Protection Type,"Superior noise reduction, Fiberglass headband, Independently adjustable ear cups, Soft foam filled cushions, Meets ANSI standard S3.19-1974, Safety yellow color",CSP112,Individually poly bagged
