BRAND STOCK #,COATING / POINT,FINISH ANGLE
Alfa USA J160195D,HIGH-SPEED STEEL,Black Oxide 118O Point
Alfa USA J160195DB,HIGH-SPEED STEEL,Bright Finish 118O Point
Alfa USA MJ150198,HIGH-SPEED STEEL,Black Oxide 118O Point
Alfa USA S160195D,HIGH-SPEED STEEL,Black Oxide 135O Split Pt.
Alfa USA S160195DB,HIGH-SPEED STEEL,Bright Finish 135O Split Pt.
Alfa USA MJ250198,HIGH-SPEED STEEL,Black Oxide 118O Point
Alfa USA COM50198,HIGH-SPEED STEEL,Straw Gold 135O Split Pt.
