D,D1,d,L,L1,STOCK #
"1""","3/16""","1-3/4""",RC76001,,
"1-1/4""","1/4""","1-7/8""",RC76002,,
"1-1/2""","5/16""","2-1/16""",RC76003,,
"2""","1/2""","2-1/2""",RC76004,,
