Hex Shank," ""Size"""," ""OAL"""," ""PACK"""," ""STOCK #"""," ""POINT"""
"5/16"" Hex Shank"," ""5/32"""" "," ""1-1/4"""" "," ""25"""," ""HSB16045"""," """""
"5/16"" Hex Shank"," ""3/16"""" "," ""1-1/4"""" "," ""25"""," ""HSB16046"""," """""
"5/16"" Hex Shank"," ""7/32"""" "," ""1-1/4"""" "," ""25"""," ""HSB16047"""," """""
"5/16"" Hex Shank"," ""1/4"""" "," ""1-1/4"""" "," ""25"""," ""HSB16048"""," """""
"5/16"" Hex Shank"," ""5/16"""" "," ""1-1/4"""" "," ""25"""," ""HSB16049"""," """""
"5/16"" Hex Shank"," ""3/8"""" "," ""1-1/4"""" "," ""20"""," ""HSB16051"""," """""
