Hex Shank," ""Size"""," ""OAL"""," ""PACK"""," ""STOCK #"""," ""POINT"""
"1/4"" Hex Shank"," ""5/64"""" "," ""1"""" "," ""25"""," ""HSB15836"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""3/32"""" "," ""1"""" "," ""25"""," ""HSB15837"""," ""#8-10 Slotted"""
"1/4"" Hex Shank"," ""7/64"""" "," ""1"""" "," ""25"""," ""HSB15838"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""1/8"""" "," ""1"""" "," ""25"""," ""HSB15839"""," ""#10-12 Slotted"""
"1/4"" Hex Shank"," ""5/32"""" "," ""1"""" "," ""25"""," ""HSB15840"""," """""
"1/4"" Hex Shank"," ""3/16"""" "," ""1"""" "," ""25"""," ""HSB15841"""," ""#2 Phillips"""
