TIP,SIZE,BLADE SIZE,BLADE LENGTH,OA L,STOCK #,STOCK # w/HANGER
,,,,,SCDPS18,"Contains 3 each #1 x 6-1/8"" SCD201H"
,,,,,SCDPS18,"#1 x 9-1/8"" SCD202H"
,,,,,SCDPS18,"#2 x 7-1/2"" SCD203H"
,,,,,SCDPS18,"#2 x 9-1/2"" SCD204H"
,,,,,SCDPS18,"#3 x 10"" SCD205H"
,,,,,SCDPS18,"#3 x 10"" SCD206H"
,,,,,SCDPS18,"#4 x 12-5/16"" SCD206H"
,,,,,SCDPS18,"1/4"" x 7-1/2"" SCD121H"
,,,,,SCDPS18,"5/16"" x 10"" SCD123H"
,,,,,SCDPS18,"3/8"" x 12-3/8"" SCD124H"
