DESCRIPTION,STOCK #
"5 Pc. Set in plastic case: 1 each: 3/16"", 1/4"", 5/16"", 3/8"", 1/2"", 4"" long drills",MDF60500C
MASONRY 18 PC. MASONRY DRILL BIT WALL DISPLAY,WMDF18
