BLADE,LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGURATION,INCHES,MM,APPLICATION,TUBED
9 x 3/4 x .050,228 x 20 x 1.3,RCG912,"1/2"" UNIVERSAL SHANK",5 / TUBE,"Cutting Fiberglass, Lath, Plaster, Ceramics, Soil Pipe, Laminates, Marble and Hardened Steel",,
