BRUSH WIRE SHANK," ""MAX PKG / STOCK #"""," ""GRADE"""," ""DIA."""," ""SIZE"""," ""SIZE"".1"," ""RPM"""," ""BOX"""," ""BULK CLAMSHELL"""
"1-1/2\"", WB67101"""," ""Coarse"""," ""0.012\"""""," ""1/4\"""""," ""6000"""," ""10"""," ""WB67101C""",,
"1-1/2\"", WB67102"""," ""Fine"""," ""0.008\"""""," ""1/4\"""""," ""6000"""," ""10"""," ""WB67102C""",,
"2\"", WB67103"""," ""Coarse"""," ""0.012\"""""," ""1/4\"""""," ""6000"""," ""10"""," ""WB67103C""",,
"2\"", WB67104"""," ""Fine"""," ""0.008\"""""," ""1/4\"""""," ""6000"""," ""10"""," ""WB67104C""",,
"3\"", WB67105"""," ""Coarse"""," ""0.012\"""""," ""1/4\"""""," ""6000"""," ""10"""," ""WB67105C""",,
"3\"", WB67106"""," ""Fine"""," ""0.008\"""""," ""1/4\"""""," ""6000"""," ""10"""," ""WB67106C""",,
"4\"", WB67107"""," ""Coarse"""," ""0.012\"""""," ""1/4\"""""," ""4500"""," ""10"""," ""WB67107C""",,
"4\"", WB67108"""," ""Fine"""," ""0.008\"""""," ""1/4\"""""," ""4500"""," ""10"""," ""WB67108C""",,
