PACK DETAILS,PACK QTY.,STOCK #
50 ml. tube (1.69 oz.),10 per pack,PS050192
250 ml. tube (8.45 oz.),4 per pack,PS250192
4 oz. brush in cap can,1,PS10701
8 oz. brush in cap can,12 per pack,PS10702
16 oz. brush in cap can,1,PS10706
