LENGTH,SIZE,BOX,QTY.,STOCK #
8,"3/4"" x 1/8""",12,F65301,
10,"1"" x 9/64""",12,F65302,
12,"1-1/8"" x 11/64""",6,F65303,
8,"3/4"" x 1/8""",12,F65321,
10,"1"" x 9/64""",12,F65322,
12,"1-1/8"" x 11/64""",6,F65323,
