STOCK #,DESCRIPTION,STOCK #.1
CSHTP70550,Tap Set Contains:,–
7/8 - 18NS,4,CSHTP70550
10mm - 1.00,4,CSMTTP70823
12mm - 1.25,4,CSMTTP70827
14mm - 1.25,4,CSMTTP70830
18mm - 1.50,4,CSMTTP70837
