SIZE,DECIMAL,FLUTE OVERALL LENGTH (IN),WEB THICK (IN),POINT ANGLE
0.0312,3/16,1-1/4,0.01,6
0.0469,7/32,1-1/2,0.012,10
0.0625,5/16,1-1/2,0.015,10
0.0938,3/8,1-1/2,0.016,12
0.125,7/16,1-1/2,0.02,14
0.1562,15/32,2,0.025,16
0.1875,9/16,2,0.028,18
0.2188,19/32,2,0.03,18
0.25,11/16,2,0.035,18
0.2812,3/4,2-1/2,0.038,18
0.3125,7/8,2-1/2,0.04,18
0.3438,15/16,2-1/2,0.042,18
0.375,1,2-1/2,0.046,18
0.4062,1,2-1/2,0.048,20
0.4375,1-1/16,2-1/2,0.05,20
0.4688,1-1/8,2-1/2,0.055,21
0.5,1-1/8,2-1/2,0.06,21
