BLADE LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGURATION,INCHES,TP I APPLICATION,BOXED,TUBED
6 x 7/8 x .062,RSBM6786,RSBM6786P,6,"All woods, nail-embedded woods and metals",25 / BOX,3 / TUBE
6 x 7/8 x .062,RSBM67810,RSBM67810P,10,"All woods, nail-embedded woods and metals",25 / BOX,3 / TUBE
9 x 7/8 x .062,RSBM9786,RSBM9786P,6,"All woods, nail-embedded woods and metals",25 / BOX,3 / TUBE
9 x 7/8 x .062,RSBM97810,RSBM97810P,10,"All woods, nail-embedded woods and metals",25 / BOX,3 / TUBE
12 x 7/8 x .062,RSBM12786,RSBM12786P,6,"All woods, nail-embedded woods and metals",25 / BOX,3 / TUBE
12 x 7/8 x .062,RSBM127810,RSBM127810P,10,"All woods, nail-embedded woods and metals",25 / BOX,3 / TUBE
