STOCK #,DIA.,LENGTH,LENGTH.1,DIA..1
RB75020,1/2,3/4,2-1/4,1/4
RB75022,3/4,3/4,2-1/4,1/4
RB75029,3/4,1,2-1/2,1/2
RB75026,1-1/8,1-1/8,3,1/2
