"3/8"" REDUCED SHANK","1/2"" REDUCED SHANK",MECHANIC’S LENGTH SILVER & DEMING,COATING / POINT,COATING / POINT.1,BRAND STOCK #,BRAND STOCK #.1,FINISH ANGLE,FINISH ANGLE.1
"9/16"" - 1"" by 1/16ths",BBML74290R,3 Flats on Shank,SDCO50449A,HSS BLITZ BITS,HIGH-SPEED STEEL,15 Pc. Set,"1/16"" - 1/2"" by 32nds",B
