QTY.,SIZES,ECO PRO STOCK #
13 Pc.,"1/16” - 1/4"" by 64ths",S40194TT
15 Pc.,"1/16” – ½"" by 32nds",S40193TT
21 Pc.,"1/16” – 3/8"" by 64ths",S40192TT
29 Pc.,"1/16” – ½"" by 64ths",S40190TT
60 Pc.,#1 - #60,S40191TT
29 Pc.,"Drill Mug1/16” – ½"" by 64ths",S40190TTDM
