Dust Mask Type,Features,Meets Standard,Stock #,Packaging
NIOSH N95 with valve,"Self-support cup design, Extremely efficient filtration, Exhalation valve releases hot air, Protruded wings eliminate staple holes, Foam lining on nose for comfort",NIOSH N95,CSP105,10 per box
NIOSH N95 with valve,"Self-support cup design, Extremely efficient filtration, Exhalation valve releases hot air, Protruded wings eliminate staple holes, Foam lining on nose for comfort",NIOSH N95,CSP110,5 per pack/poly bag
NIOSH N95 with valve,"Self-support cup design, Extremely efficient filtration, Exhalation valve releases hot air, Protruded wings eliminate staple holes, Foam lining on nose for comfort",NIOSH N95,CSP113,50 pcs./carton
