NO.," ""DIA."""," ""STOCK #"""," ""SIZE"""," ""HOLE"""," ""WIDTH"""," ""LENGTH"""," ""KNOTS"""," ""RPM"""," ""BOX"""
"4\"", WB67190"""," ""4\"""""," ""5/8\""-11"""," ""1-3/8\"""""," ""1/4\"""""," ""32"""," ""9000"""," ""1""",,
4%* ," ""WB67191"""," ""4\"""""," ""5/8\""-11"""," ""1-3/8\"""""," ""5/16\"""""," ""32"""," ""9000"""," ""1""",
"6\"", WB67192"""," ""6\"""""," ""5/8\""-11"""," ""1-3/8\"""""," ""1/4\"""""," ""50"""," ""9000"""," ""1""",,
"6-7/8\"", WB67199"""," ""6-7/8\"""""," ""5/8\""-11"""," ""1-3/8\"""""," ""1/4\"""""," ""56"""," ""9000"""," ""1""",,
