DIA.,WIRE ARBOR TRIM FACE,MAX WIDTH RPM,STOCK #,PKG
Multi- Adapter,1-1/8 3/4,6500,1,WB67151
Multi- Adapter,1-5/8 1-1/16,4500,1,WB67153
Multi- Adapter,2-5/8 1-1/8,3600,1,WB67154
