FEATURES,BEARING SIZE,STOCK #
High quality router bit bearings,"3/8"" x 3/16""",RB75151
High quality router bit bearings,"1/2"" x 3/16""",RB75152
High quality router bit bearings,"1/2"" x 1/4""",RB75153
High quality router bit bearings,"5/8"" x 1/4""",RB75154
High quality router bit bearings,"3/4"" x 1/4""",RB75155
High quality router bit bearings,"3/4"" x 1/2""",RB75156
High quality router bit bearings,"1-1/8"" x 1/2""",RB75157
