CUTTER,CUTTING,OVERALL,SHANK,RADIUS,STOCK #
3/4,3/8,2 1/8,1/4,RB75092,
7/8,3/8,2 3/16,1/4,RB75094,
1 1/2,2,1/4,RB75096,,
1-1/4,5/8,2-1/8,5/16,1/4,RB75098
1-1/2,3/4,2-3/8,1/2,1/4,RB75100
