CONTENTS,ITEM,QTy.,STOCK #
"#2 x 1"" Phillips",HSB15803,500,CJ8004
"#2R x 1"" Phillips",HSB15805,500,CJ8008
"#2 x 1-15/16"" Phillips",HSB15846,250,CJ8022
"#2 x 1"" Phillips ACR",HSB26111,500,CJ8031
"#2 x 1"" Phillips Stopper",DSP271,250,DSPJ271
