BORE,FLUTE,OVERALL,HEX,OVER ALL,STOCK #,TUBED
1/4,2,4,1/4,6,EXT61289,C
1/4,2,4,5/16,12,EXT61290,
3/8,2,4,7/16,18,EXT61291,
5/16,2,4,1/4,18,EXT61293,
7/16,2,4,5/16,24,EXT61294,
1/2,2,4,7/16,24,EXT61297,
7/16,2,4,7/16,12,EXT61295,D
7/16,2,4,7/16,18,EXT61296,
