HAMMER FACE,HEAD,OAL,STOCK #,WEIGHT,DIA.,LENGTH
"Soft Faced, Shot Loaded",Steel-reinforced construction,"11.02""",DBH01,1 lb.,"1.46""","3.58"""
,Impact resistant.,"13.58""",DBH02,2 lb.,"2.17""","4.49"""
,Does not absorb liquids.,"14.76""",DBH03,3 lb.,"2.36""","4.80"""
,No sparks.,"15.16""",DBH35,3.5 lb.,"2.56""","5.43"""
,,,1 per pack,,,
