BRUSH WIRE SHANK," ""PKG / MAX STOCK #"""," ""GRADE"""," ""DIA."""," ""SIZE"""," ""SIZE"".1"," ""BOX"""," ""RPM"""," ""BULK CLAMSHELL"""
"2\"", WB67111"""," ""Coarse"""," ""0.012\"""""," ""1/4\"""""," ""10"""," ""5000"""," ""WB67111C""",,
"2\"", WB67112"""," ""Fine"""," ""0.008\"""""," ""1/4\"""""," ""10"""," ""5000"""," ""WB67112C""",,
"3\"", WB67113"""," ""Coarse"""," ""0.012\"""""," ""1/4\"""""," ""10"""," ""5000"""," ""WB67113C""",,
"3\"", WB67114"""," ""Fine"""," ""0.008\"""""," ""1/4\"""""," ""10"""," ""5000"""," ""WB67114C""",,
