Size x OAL,Apex®,Alfa Tools
"1F-2R x 1-15/16"",320-000X""",HSB16055,
"TT45 x 1-15/16"",480-TX-45-H""",HSB16980,
"2F-3R x 1-15/16"",320-00X""",HSB16056,
"TT50 x 1-15/16"",480-TX-50-H""",HSB16981,
"3F-4R x 1-15/16"",320-0X""",HSB16057,
"TT55 x 1-15/16"",480-TX-55-H""",HSB16982,
"4F-6R x 1-15/16"",320-1X""",HSB16058,
"6F-8R x 1-15/16"",320-3X""",HSB15864,
"8F-10R x 1-15/16"",320-4X""",HSB15865,
"10F-12R x 1-15/16"",320-5X""",HSB15866,
"12F-14R x 1-15/16"",320-6X""",HSB15871,
