WIRE ARBOR TRIM MAX. PKG /,DIA.,STOCK #,SIZE,HOLE,LENGTH,RPM,BOX
"2-3/8""","0.012""","5/8""-11","3/4""",11000,1,WB67168G,
"2-3 /8""","0.012""","5/8""-11","3/4""",11000,1,WB67171,
"3-1/4""","0.012""","5/8""-11","1-3/16""",8500,1,WB67174SS,
"4""","0.012""","5/8""-11","1-3/16""",8500,1,WB67172,
"5""","0.012""","5/8""-11","1-9/16""",8500,1,WB67173,
