CUTTER DIA.," ""CUTTING LENGTH"""," ""OVERALL LENGTH"""," ""WIDTH"""," ""SHANK DIA."""," ""STOCK #"""
1-1/4, 5/8, 2-1/8, 3/8, 1/4, RB75110
1-1/2, 3/4, 2-1/4, 1/2, 1/4, RB75112
1-1/2, 3/4, 2-1/2, 1/2, 1/2, RB75114
