DESCRIPTION,STOCK #,DIA.,LENGTH,BULK,CARDED
PD61801 HIGH-SPEED STEEL,PD61801,"1/4""","4""",PD61801,PD61801C
PD61802,PD61802,"1/4""","4""",PD61802,PD61802C
PD61803 CARBIDE TIPPED,PD61803,"1/4""","3-1/4""",PD61803,PD61803C
"PD61810 12"" EXTENSION",PD61810,,,,
