DESCRIPTION,STOCK #,DRILL,OVERALL,STOCK #.1,DIA.,LENGTH,ENVELOPED
5 Pc. Set in plastic case:,MDF60500C,MASONRY DRILL BIT SET, , , , ,
 ,MDF60561,"5/32""","4""",MDH60561,MDH60561C,,
 ,MDF60563,"3/16""","4""",MDH60563,MDH60563C,,
 ,MDF60565,"1/4""","4""",MDH60565,MDH60565C,,
 ,MDF60567,"5/16""","4""",MDH60567,MDH60567C,,
 ,MDF60569,"3/8""","4""",MDH60569,MDH60569C,,
 ,MDF60571,"1/2""","4""",MDH60571,MDH60571C,,
