TPI,SIZE,BULK,CARDED
27,"1/16""",CSNPT70560,CSNPT70560C
27,"1/8""",CSNPT70561,CSNPT70561C
18,"1/4""",CSNPT70562,CSNPT70562C
18,"3/8""",CSNPT70563,CSNPT70563C
14,"1/2""",CSNPT70564,CSNPT70564C
14,"3/4""",CSNPT70565,–
11-1/2,"1""",CSNPT70566,–
11-1/2,"1-1/4""",CSNPT70567,–
11-1/2,"1-1/2""",CSNPT70568,–
11-1/2,"2""",CSNPT70569,–
