Size x OAL,Apex®,Alfa Tools
"6F-8R x 1"",445-2X""",HSB15809,
"TT10 x 1"",440-TX-10-H""",HSB15967,
"8F-10R x 1"",445-3X""",HSB15810,
"TT15 x 1"",440-TX-15-H""",HSB15968,
"10F-12R x 1"",445-4X""",HSB15811,
"TT20 x 1"",440-TX-20-H""",HSB15969,
"5/16"",MAGNETIC""",,
"6F-8R x 1-1/2"",485-2X""",HSB16026,
"TT27 x 1"",440-TX-27-H""",HSB15971,
"TT30 x 1"",440-TX-30-H""",HSB15972,
"8F-10R x 1-1/2"",485-3X""",HSB16027,
"TT40 x 1"",440-TX-40-H""",HSB15973,
"10F-12R x 1-1/2"",485-3X""",HSB16028,
