DESCRIPTION,STOCK #
9 Pc. Single Flute Set,
82O Countersink Eco Pro C6F50575,
60O Countersink Eco Pro C6F50575A,
90O Countersink Eco Pro C6F50575B,
4 Pc. Five Flute Set,
82O Countersink Eco Pro CSF50571,
60O Countersink Eco Pro CSF50571A,
90O Countersink Eco Pro CSF50571B,
100O Countersink Eco Pro CSF50571C,
82O Countersink Monolock Shank C5F50565,
