BLADE LENGTH x WIDTH x THICKNESS,STOCK #,CONFIGU RATION,INCH ES,MM,TP I,APPLICATION,TUBED
3 x 3/8 x .040,JSCG33818,Medium Thick Stainless Steel Sheets,75,9.3,1,18,5
3-1/4 x 3/8 x .040,JSCG33824,Thin Stainle ss Steel Sheets,83,9.3,1,24,5
