TIP,SIZE,BLADE SIZE,BLADE LENGTH,OA L,STOCK #,STOCK # w/HANGER
,,,,,SCDP18,"Contains 3 each #1 x 6-1/8"" SCD201H"
,,,,,SCDP18,"#1 x 9-1/8"" SCD202H"
,,,,,SCDP18,"#2 x 7-1/2"" SCD203H"
,,,,,SCDP18,"#2 x 9-1/2"" SCD204H"
,,,,,SCDP18,"#3 x 10"" SCD205H"
,,,,,SCDP18,"#3 x 10"" SCD206H"
,,,,,SCDP18,"#4 x 12-5/16"" SCD206H"
