SIZE,TYPE,STOCK #
"14""",FLAT,DC63171
"18""",FLAT,DC63172
"24""",FLAT,DC63173
"14""",MOIL,DC63174
"18""",MOIL,DC63175
"24""",MOIL,DC63176
"3"" x 14""","3"" WIDE - 14"" long",DC63177
"3"" x 18""","3"" WIDE - 18"" long",DC63178
"3"" x 24""","3"" WIDE - 24"" long",DC63179
"5"" x 6""",ASPHALT CUTTING,DC63198
