CUTTER DIA.," ""CUTTING LENGTH"""," ""OVERALL LENGTH"""," ""SHANK DIA."""," ""STOCK #"""
1-1/4, 1/4, 2, 1/4, RB75136
1-1/4, 3/8, 2-1/8, 1/4, RB75138
1-1/4, 1/2, 2-1/8, 1/4, RB75140
