 SIZE ,DECIMAL EQUIV., FLUTE LENGTH, OVERALL LENGTH,ALFA USA  STOCK #
25/64,0.3906, 3-3/4, 5-1/8, BBRS74122
13/32,0.4062, 3-7/8, 5-1/4, BBRS74123
27/64,0.4219, 3-15/16, 5-3/8, BBRS74124
7/16,0.4375, 4-1/16, 5-1/2, BBRS74125
29/64,0.4531, 4-3/16, 5-5/8, BBRS74126
15/32,0.4688, 4-5/16, 5-3/4, BBRS74127
31/64,0.4844, 4-3/8, 5-7/8, BBRS74128
1/2,0.5, 4-1/2,6, BBRS74129
