Size MM,Length,OAL,Stock #,Bulk with Hanger
5.5,5,"8-1/2\"",ND160""",ND160H,
6.0,5,"8-1/2\"",ND161""",ND161H,
7.0,5,"9-1/2\"",ND162""",ND162H,
8.0,5,"9-1/2\"",ND163""",ND163H,
9.0,5,"9-1/2\"",ND164""",ND164H,
10.0,5,"9-1/2\"",ND165""",ND165H,
11.0,5,"9-3/4\"",ND166""",ND166H,
13.0,5,"9-3/4\"",ND167""",ND167H,
