STOCK #,SHAPE DI,H,A,E,.,x,A D,LE,S,N,IZ,G,E.1,TH SINGLE,DOUBLE,DOUBLE CUT,CUT CUT TiN COATED
SN-1,1/4 x 5/16,B71276,B71276D,B71276DTN,,,,,,,,,,,,,
SN-2,3/8 x 3/8,B71277,B71277D,B71277DTN,,,,,,,,,,,,,
SN-4,1/2 x 1/2,B71278,B71278D,B71278DTN,,,,,,,,,,,,,
SN-6,5/8 x 3/4,B71279,B71279D,B71279DTN,,,,,,,,,,,,,
SN-7,3/4 x 5/8,B71280,B71280D,B71280DTN,,,,,,,,,,,,,
