SIZE,TYPE,STOCK #,SIZE.1,TYPE.1,STOCK #.1
"12""",BULLPOINT,DC63121,"10""",BULLPOINT,DC63141
"18""",BULLPOINT,DC63123,"3/4"" x 10""",FLAT,DC63142
"1"" x 12""",FLAT,DC63125,"1-1/2"" x 10""",SCALING,DC63143
"1"" x 18""",FLAT,DC63127,,,
"2"" x 12""",SCALING,DC63128,BUSHING TOOL,F,"HEAD 1-3/4"" x 1-3/4"""
DC63129A,"SHANK 9-1/4"""",Individually packed""",,,,
