DESCRIPTION,WEIGHT,STOCK #,Tap Drill Tap Drill Tap Drill
Tap & Drill Dispenser,10.5 lbs,DIHT13590,"6-32 #36 1/4""-28 #3 7/16""-14 U"
,,,"8-32 #29 5/16""-18 F 7/16""-20 25/64"""
,,,"10-24 #25 5/16""-24 I 1/2""-13 27/64"""
,,,"10-32 #21 3/8""-16 5/16"" 1/2""-20 29/64"""
,,,"1/4""-20 #7 3/8""-24 Q"
