CUTTER LENGTH,HOLE,NO. OF FLUTES,STOCK #
2,3/4,8,REM50853
2,1,8,REM50857
2,1,8,REM50861
2,1,8,REM50865
2,1-1/4,10,REM50869
2,1-1/4,10,REM50871
2-1/4,1-1/2,12,REM50872
2-1/4,1-1/2,14,REM50873
2-1/4,1-1/2,14,REM50874
2-1/4,2,16,REM50875
2-1/4,2,16,REM50876
