DESCRIPTION,PACK,STOCK #
"Spline Shank 7""",1,HDCD73057
"SDS-Max Shank 7-3/4""",1,HDCD73058
Threaded Centering Bit For Core Bits,1,HDCA73059
"Centering Bit For Core Bits 3/8"" x 6"" Length",1,HDA62059
