DESCRIPTION,WEIGHT,STOCK #
18 Pc. NC Plug Taps with Jobber Drills,,DIHTD18B
18 Pc. NF Plug Taps with Jobber Drills,,DIHTD18A
36 Pc. NC/NF Plug Taps with Jobber Drills,50 lbs .,DIHDM13175
