TYPE,LENGTH,SIZE,STOCK #
FOR 7/16 DIA. CUTTERS ONLY,SHORT,3/16 x 3,RC76006
FOR 7/16 DIA. CUTTERS ONLY,LONG,3/16 x 4,RC76007
FOR ALL OTHER CUTTERS 1/2 TO 2-1/4,SHORT,1/4 x 3,RC74331
FOR ALL OTHER CUTTERS 1/2 TO 2-1/4,LONG,1/4 x 4,RC74374
FOR ALL OTHER CUTTERS 1/2 TO 2-1/4,EXTRA LONG,1/4 x 5,RC74397
