SHANK,OAL,STOCK #,DESCRIPTION,QUANTITY
SDS-Max,"12-1/2\"",HDA2010""",EXTENSION SHAFTS,1 per pack,
SDS-Max,"29-1/2\"",HDA2020""",EXTENSION SHAFTS,,
SDS-Max,"43\"",HDA2030""",EXTENSION SHAFTS,,
SDS-Plus,"12-1/2\"",HDA2060""",EXTENSION SHAFTS,,
SDS-Plus,"29-1/2\"",HDA2070""",EXTENSION SHAFTS,,
Spline,"12-1/2\"",HDA2080""",EXTENSION SHAFTS,,
Spline,"29-1/2\"",HDA2090""",EXTENSION SHAFTS,,
