THREAD,INTERNAL THREAD,EXTERNAL THREAD,TAP DRILL SIZE,MINIMUM THREAD DEPTH,FULL THREAD LENGTH,STOCK #
1/4-20,1/2-13,0.484,27/64,1/2-13,9/16,SI67533
5/16-18,9/16-12,0.515,31/64,9/16-12,19/32,SI67534
3/8-16,5/8-11,0.656,17/32,5/8-11,23/32,SI67535
1/2-13,7/8-9,0.687,49/46,7/8-9,13/16,SI67536
5/8-11,1-8,0.781,7/8,1-8,7/8,SI67537
